105,00:28:40.080 07/13/2019,2061:520138.080,3.62,67.43,-2453684.400,-4767168.750
106,00:28:42.000 07/13/2019,2061:520138.500,3.90,57.57,-2453682.900,-4767169.100
107,00:28:40.920 07/13/2019,2061:520138.920,3.95,46.52,-2453681.390,-4767169.250
108,00:28:43.000 07/13/2019,2061:520139.340,3.87,32.89,-2453680.020,-4767169.090
109,00:28:41.760 07/13/2019,2061:520139.760,3.82,17.00,-2453678.950,-4767168.700
110,00:28:42.180 07/13/2019,2061:520140.180,3.89,0.99,-2453678.280,-4767168.030
111,00:28:42.600 07/13/2019,2061:520140.600,4.09,346.62,-2453677.960,-4767167.130
112,00:28:43.020 07/13/2019,2061:520141.020,4.57,338.96,-2453677.940,-4767166.040
113,00:28:45.000 07/13/2019,2061:520141.380,5.08,338.08,-2453678.040,-4767164.930
114,00:28:43.740 07/13/2019,2061:520141.740,5.43,340.22,-2453678.110,-4767163.710
115,00:28:44.160 07/13/2019,2061:520142.160,5.95,344.61,-2453678.100,-4767162.160
116,00:28:46.000 07/13/2019,2061:520142.520,6.19,348.38,-2453677.970,-4767160.820
117,00:28:44.880 07/13/2019,2061:520142.880,6.54,351.76,-2453677.690,-4767159.420
118,00:28:47.000 07/13/2019,2061:520143.300,7.04,354.14,-2453677.250,-4767157.760
119,00:28:45.720 07/13/2019,2061:520143.720,7.47,355.20,-2453676.730,-4767156.100
120,00:28:46.080 07/13/2019,2061:520144.080,7.64,355.95,-2453676.230,-4767154.670
121,00:28:48.000 07/13/2019,2061:520144.500,7.86,356.69,-2453675.580,-4767152.920
122,00:28:46.920 07/13/2019,2061:520144.920,8.20,357.30,-2453674.860,-4767151.130
123,00:28:49.000 07/13/2019,2061:520145.280,8.32,357.75,-2453674.240,-4767149.630
124,00:28:47.700 07/13/2019,2061:520145.700,8.27,358.40,-2453673.470,-4767147.900
125,00:28:48.180 07/13/2019,2061:520146.180,8.13,358.97,-2453672.590,-4767145.990
126,00:28:50.000 07/13/2019,2061:520146.600,8.04,359.33,-2453671.810,-4767144.350
127,00:28:49.020 07/13/2019,2061:520147.020,7.97,359.67,-2453671.030,-4767142.750
128,00:28:51.000 07/13/2019,2061:520147.440,7.91,0.17,-2453670.220,-4767141.170
129,00:28:49.800 07/13/2019,2061:520147.800,7.90,1.23,-2453669.500,-4767139.850
130,00:28:50.220 07/13/2019,2061:520148.220,7.90,3.91,-2453668.580,-4767138.400
131,00:28:50.640 07/13/2019,2061:520148.640,7.77,8.07,-2453667.500,-4767137.050
132,00:28:51.000 07/13/2019,2061:520149.000,7.63,12.26,-2453666.420,-4767136.020
133,00:28:53.000 07/13/2019,2061:520149.420,7.55,17.12,-2453664.980,-4767134.970
134,00:28:51.840 07/13/2019,2061:520149.840,7.42,21.97,-2453663.360,-4767134.110
135,00:28:52.260 07/13/2019,2061:520150.260,7.14,26.62,-2453661.620,-4767133.450
136,00:28:52.680 07/13/2019,2061:520150.680,6.75,31.17,-2453659.820,-4767132.950
137,00:28:53.100 07/13/2019,2061:520151.100,6.23,36.67,-2453657.990,-4767132.650
138,00:28:55.000 07/13/2019,2061:520151.460,5.77,42.87,-2453656.400,-4767132.550
139,00:28:53.820 07/13/2019,2061:520151.820,5.25,50.67,-2453654.790,-4767132.620
140,00:28:54.240 07/13/2019,2061:520152.240,4.70,61.98,-2453652.980,-4767132.920
141,00:28:56.000 07/13/2019,2061:520152.600,4.29,74.00,-2453651.450,-4767133.330
142,00:28:54.960 07/13/2019,2061:520152.960,3.96,87.52,-2453650.070,-4767133.940
143,00:28:57.000 07/13/2019,2061:520153.320,3.69,101.72,-2453648.830,-4767134.660
144,00:28:55.740 07/13/2019,2061:520153.740,3.54,119.00,-2453647.680,-4767135.610
145,00:28:56.160 07/13/2019,2061:520154.160,3.57,136.64,-2453646.850,-4767136.660
146,00:28:58.000 07/13/2019,2061:520154.520,3.82,151.43,-2453646.440,-4767137.660
147,00:28:56.880 07/13/2019,2061:520154.880,4.12,163.39,-2453646.330,-4767138.670
148,00:28:57.300 07/13/2019,2061:520155.300,4.55,174.29,-2453646.510,-4767139.820
149,00:28:57.660 07/13/2019,2061:520155.660,4.98,179.77,-2453646.890,-4767140.790
150,00:28:58.080 07/13/2019,2061:520156.080,5.48,183.45,-2453647.500,-4767141.910
151,00:29:00.000 07/13/2019,2061:520156.500,5.86,184.88,-2453648.250,-4767143.030
152,00:28:58.860 07/13/2019,2061:520156.860,6.20,185.54,-2453648.970,-4767144.000
153,00:28:59.280 07/13/2019,2061:520157.280,6.55,185.66,-2453649.870,-4767145.180
154,00:28:59.640 07/13/2019,2061:520157.640,6.85,185.41,-2453650.680,-4767146.240
155,00:29:00.000 07/13/2019,2061:520158.000,7.07,185.13,-2453651.520,-4767147.350
156,00:29:02.000 07/13/2019,2061:520158.420,7.30,184.77,-2453652.510,-4767148.710
157,00:29:00.840 07/13/2019,2061:520158.840,7.42,184.29,-2453653.520,-4767150.130
